,jaar,maand,merk,aantal,cum aantal,datum
105,1957,3,BMW,1,17,1957-03-01
106,1957,3,VOLKSWAGEN,6,141,1957-03-01
107,1957,4,RENAULT,3,28,1957-04-01
108,1957,4,VOLKSWAGEN,2,143,1957-04-01
109,1957,4,VOLVO,1,27,1957-04-01
110,1957,5,RENAULT,2,30,1957-05-01
111,1957,5,VOLKSWAGEN,4,147,1957-05-01
112,1957,5,VOLVO,4,31,1957-05-01
113,1957,6,VOLKSWAGEN,7,154,1957-06-01
114,1957,7,VOLKSWAGEN,4,158,1957-07-01
115,1957,7,VOLVO,1,32,1957-07-01
116,1957,8,RENAULT,4,34,1957-08-01
117,1957,8,VOLKSWAGEN,3,161,1957-08-01
118,1957,8,VOLVO,1,33,1957-08-01
119,1957,9,BMW,2,19,1957-09-01
120,1957,9,RENAULT,1,35,1957-09-01
121,1957,9,VOLKSWAGEN,3,164,1957-09-01
122,1957,9,VOLVO,1,34,1957-09-01
123,1957,10,VOLKSWAGEN,2,166,1957-10-01
124,1957,10,VOLVO,1,35,1957-10-01
125,1957,11,RENAULT,2,37,1957-11-01
126,1957,11,VOLKSWAGEN,1,167,1957-11-01
127,1957,11,VOLVO,3,38,1957-11-01
128,1957,12,RENAULT,1,38,1957-12-01
129,1957,12,VOLKSWAGEN,2,169,1957-12-01
130,1957,12,VOLVO,2,40,1957-12-01
131,1958,1,RENAULT,2,40,1958-01-01
132,1958,1,VOLKSWAGEN,2,171,1958-01-01
133,1958,2,VOLKSWAGEN,4,175,1958-02-01
134,1958,2,VOLVO,1,41,1958-02-01
135,1958,3,VOLKSWAGEN,3,178,1958-03-01
136,1958,3,VOLVO,3,44,1958-03-01
137,1958,4,RENAULT,1,41,1958-04-01
138,1958,4,VOLKSWAGEN,3,181,1958-04-01
139,1958,5,RENAULT,2,43,1958-05-01
140,1958,5,VOLVO,1,45,1958-05-01
141,1958,6,BMW,1,20,1958-06-01
142,1958,6,RENAULT,1,44,1958-06-01
143,1958,6,VOLKSWAGEN,3,184,1958-06-01
144,1958,7,VOLVO,1,46,1958-07-01
145,1958,8,VOLKSWAGEN,7,191,1958-08-01
146,1958,9,RENAULT,2,46,1958-09-01
147,1958,9,VOLKSWAGEN,2,193,1958-09-01
148,1958,9,VOLVO,1,47,1958-09-01
149,1958,10,VOLKSWAGEN,4,197,1958-10-01
150,1958,11,RENAULT,2,48,1958-11-01
151,1958,11,VOLKSWAGEN,5,202,1958-11-01
152,1958,11,VOLVO,1,48,1958-11-01
153,1958,12,RENAULT,1,49,1958-12-01
154,1958,12,VOLKSWAGEN,5,207,1958-12-01
155,1958,12,VOLVO,1,49,1958-12-01
156,1959,1,VOLKSWAGEN,2,209,1959-01-01
157,1959,2,RENAULT,1,50,1959-02-01
158,1959,2,VOLKSWAGEN,2,211,1959-02-01
159,1959,3,RENAULT,2,52,1959-03-01
160,1959,3,VOLKSWAGEN,1,212,1959-03-01
161,1959,4,BMW,1,21,1959-04-01
162,1959,4,RENAULT,2,54,1959-04-01
163,1959,4,VOLKSWAGEN,4,216,1959-04-01
164,1959,4,VOLVO,1,50,1959-04-01
165,1959,5,BMW,1,22,1959-05-01
166,1959,5,RENAULT,3,57,1959-05-01
167,1959,5,VOLKSWAGEN,6,222,1959-05-01
168,1959,6,BMW,4,26,1959-06-01
169,1959,6,RENAULT,2,59,1959-06-01
170,1959,6,VOLKSWAGEN,6,228,1959-06-01
171,1959,6,VOLVO,3,53,1959-06-01
172,1959,7,RENAULT,1,60,1959-07-01
173,1959,7,VOLKSWAGEN,6,234,1959-07-01
174,1959,7,VOLVO,1,54,1959-07-01
175,1959,8,RENAULT,3,63,1959-08-01
176,1959,9,VOLKSWAGEN,5,239,1959-09-01
177,1959,9,VOLVO,1,55,1959-09-01
178,1959,10,RENAULT,3,66,1959-10-01
179,1959,10,VOLKSWAGEN,5,244,1959-10-01
180,1959,11,BMW,2,28,1959-11-01
181,1959,11,VOLKSWAGEN,6,250,1959-11-01
182,1959,12,BMW,1,29,1959-12-01
183,1959,12,RENAULT,1,67,1959-12-01
184,1959,12,VOLKSWAGEN,3,253,1959-12-01
185,1960,1,RENAULT,1,68,1960-01-01
186,1960,1,VOLKSWAGEN,4,257,1960-01-01
187,1960,1,VOLVO,1,56,1960-01-01
188,1960,2,VOLKSWAGEN,5,262,1960-02-01
189,1960,2,VOLVO,4,60,1960-02-01
190,1960,3,BMW,5,34,1960-03-01
191,1960,3,RENAULT,6,74,1960-03-01
192,1960,3,VOLKSWAGEN,6,268,1960-03-01
193,1960,3,VOLVO,4,64,1960-03-01
194,1960,4,BMW,1,35,1960-04-01
195,1960,4,RENAULT,3,77,1960-04-01
196,1960,4,VOLKSWAGEN,4,272,1960-04-01
197,1960,4,VOLVO,7,71,1960-04-01
198,1960,5,RENAULT,2,79,1960-05-01
199,1960,5,VOLKSWAGEN,5,277,1960-05-01
200,1960,5,VOLVO,8,79,1960-05-01
201,1960,6,BMW,2,37,1960-06-01
202,1960,6,RENAULT,2,81,1960-06-01
203,1960,6,VOLKSWAGEN,5,282,1960-06-01
204,1960,6,VOLVO,3,82,1960-06-01
205,1960,7,RENAULT,1,82,1960-07-01
206,1960,7,VOLKSWAGEN,4,286,1960-07-01
207,1960,8,BMW,1,38,1960-08-01
208,1960,8,RENAULT,1,83,1960-08-01
209,1960,8,VOLVO,2,84,1960-08-01
210,1960,9,RENAULT,2,85,1960-09-01
211,1960,9,VOLKSWAGEN,6,292,1960-09-01
212,1960,9,VOLVO,1,85,1960-09-01
213,1960,10,VOLKSWAGEN,5,297,1960-10-01
214,1960,10,VOLVO,2,87,1960-10-01
215,1960,11,RENAULT,1,86,1960-11-01
216,1960,11,VOLKSWAGEN,5,302,1960-11-01
217,1960,11,VOLVO,4,91,1960-11-01
218,1960,12,VOLKSWAGEN,8,310,1960-12-01
219,1960,12,VOLVO,3,94,1960-12-01
220,1961,1,RENAULT,1,87,1961-01-01
221,1961,1,VOLKSWAGEN,7,317,1961-01-01
222,1961,1,VOLVO,2,96,1961-01-01
223,1961,2,BMW,1,39,1961-02-01
224,1961,2,RENAULT,2,89,1961-02-01
225,1961,2,VOLKSWAGEN,8,325,1961-02-01
226,1961,2,VOLVO,5,101,1961-02-01
227,1961,3,RENAULT,2,91,1961-03-01
228,1961,3,VOLKSWAGEN,12,337,1961-03-01
229,1961,3,VOLVO,3,104,1961-03-01
230,1961,4,RENAULT,5,96,1961-04-01
231,1961,4,VOLKSWAGEN,5,342,1961-04-01
232,1961,4,VOLVO,1,105,1961-04-01
233,1961,5,RENAULT,3,99,1961-05-01
234,1961,5,VOLKSWAGEN,7,349,1961-05-01
235,1961,5,VOLVO,4,109,1961-05-01
236,1961,6,RENAULT,1,100,1961-06-01
237,1961,6,VOLKSWAGEN,6,355,1961-06-01
238,1961,6,VOLVO,2,111,1961-06-01
239,1961,7,RENAULT,2,102,1961-07-01
240,1961,7,VOLKSWAGEN,12,367,1961-07-01
241,1961,7,VOLVO,3,114,1961-07-01
242,1961,8,RENAULT,2,104,1961-08-01
243,1961,8,VOLKSWAGEN,2,369,1961-08-01
244,1961,8,VOLVO,5,119,1961-08-01
245,1961,9,RENAULT,1,105,1961-09-01
246,1961,9,VOLKSWAGEN,12,381,1961-09-01
247,1961,9,VOLVO,6,125,1961-09-01
248,1961,10,RENAULT,1,106,1961-10-01
249,1961,10,VOLKSWAGEN,10,391,1961-10-01
250,1961,10,VOLVO,5,130,1961-10-01
251,1961,11,RENAULT,2,108,1961-11-01
252,1961,11,VOLKSWAGEN,8,399,1961-11-01
253,1961,11,VOLVO,2,132,1961-11-01
254,1961,12,VOLKSWAGEN,9,408,1961-12-01
255,1961,12,VOLVO,5,137,1961-12-01
