,brandstof_omschrijving,cum aantal,datum
2262,CNG,615,2011-12-01
2263,Diesel,283412,2011-12-01
2264,Elektriciteit,501,2011-12-01
2265,LPG,28050,2011-12-01
2266,Alcohol,2162,2012-01-01
2267,Benzine,3468973,2012-01-01
2268,CNG,663,2012-01-01
2269,Diesel,293031,2012-01-01
2270,Elektriciteit,533,2012-01-01
2271,LPG,28999,2012-01-01
2272,Alcohol,2205,2012-02-01
2273,Benzine,3500441,2012-02-01
2274,CNG,681,2012-02-01
2275,Diesel,298842,2012-02-01
2276,Elektriciteit,550,2012-02-01
2277,LPG,29584,2012-02-01
2278,Alcohol,2234,2012-03-01
2279,Benzine,3538918,2012-03-01
2280,CNG,755,2012-03-01
2281,Diesel,305437,2012-03-01
2282,Elektriciteit,569,2012-03-01
2283,LPG,30430,2012-03-01
2284,Alcohol,2261,2012-04-01
2285,Benzine,3568112,2012-04-01
2286,CNG,779,2012-04-01
2287,Diesel,311173,2012-04-01
2288,Elektriciteit,580,2012-04-01
2289,LPG,30887,2012-04-01
2290,Alcohol,2291,2012-05-01
2291,Benzine,3599977,2012-05-01
2292,CNG,798,2012-05-01
2293,Diesel,318337,2012-05-01
2294,Elektriciteit,598,2012-05-01
2295,LPG,31568,2012-05-01
2296,Alcohol,2308,2012-06-01
2297,Benzine,3648272,2012-06-01
2298,CNG,820,2012-06-01
2299,Diesel,329482,2012-06-01
2300,Elektriciteit,636,2012-06-01
2301,LPG,34345,2012-06-01
2302,Alcohol,2320,2012-07-01
2303,Benzine,3670652,2012-07-01
2304,CNG,837,2012-07-01
2305,Diesel,334422,2012-07-01
2306,Elektriciteit,647,2012-07-01
2307,LPG,34621,2012-07-01
2308,Alcohol,2343,2012-08-01
2309,Benzine,3696855,2012-08-01
2310,CNG,906,2012-08-01
2311,Diesel,338361,2012-08-01
2312,Elektriciteit,665,2012-08-01
2313,LPG,34863,2012-08-01
2314,Alcohol,2348,2012-09-01
2315,Benzine,3720684,2012-09-01
2316,CNG,917,2012-09-01
2317,Diesel,342674,2012-09-01
2318,Elektriciteit,688,2012-09-01
2319,LPG,35046,2012-09-01
2320,Alcohol,2355,2012-10-01
2321,Benzine,3738691,2012-10-01
2322,CNG,927,2012-10-01
2323,Diesel,347225,2012-10-01
2324,Elektriciteit,712,2012-10-01
2325,LPG,35276,2012-10-01
2326,Alcohol,2360,2012-11-01
2327,Benzine,3759104,2012-11-01
2328,CNG,957,2012-11-01
2329,Diesel,352280,2012-11-01
2330,Elektriciteit,733,2012-11-01
2331,LPG,35510,2012-11-01
2332,Alcohol,2365,2012-12-01
2333,Benzine,3771855,2012-12-01
2334,CNG,1047,2012-12-01
2335,Diesel,355895,2012-12-01
2336,Elektriciteit,746,2012-12-01
2337,LPG,35764,2012-12-01
2338,Alcohol,2373,2013-01-01
2339,Benzine,3810276,2013-01-01
2340,CNG,1093,2013-01-01
2341,Diesel,361420,2013-01-01
2342,Elektriciteit,768,2013-01-01
2343,LPG,36158,2013-01-01
2344,Alcohol,2379,2013-02-01
2345,Benzine,3836916,2013-02-01
2346,CNG,1129,2013-02-01
2347,Diesel,365288,2013-02-01
2348,Elektriciteit,784,2013-02-01
2349,LPG,36614,2013-02-01
2350,Alcohol,2382,2013-03-01
2351,Benzine,3864927,2013-03-01
2352,CNG,1162,2013-03-01
2353,Diesel,370751,2013-03-01
2354,Elektriciteit,823,2013-03-01
2355,LPG,36772,2013-03-01
2356,Alcohol,2385,2013-04-01
2357,Benzine,3889018,2013-04-01
2358,CNG,1183,2013-04-01
2359,Diesel,375971,2013-04-01
2360,Elektriciteit,839,2013-04-01
2361,LPG,36815,2013-04-01
2362,Alcohol,2387,2013-05-01
2363,Benzine,3913845,2013-05-01
2364,CNG,1214,2013-05-01
2365,Diesel,380878,2013-05-01
2366,Elektriciteit,895,2013-05-01
2367,LPG,36862,2013-05-01
2368,Alcohol,2388,2013-06-01
2369,Benzine,3942503,2013-06-01
2370,CNG,1244,2013-06-01
2371,Diesel,386404,2013-06-01
2372,Elektriciteit,967,2013-06-01
2373,LPG,36926,2013-06-01
2374,Benzine,3966608,2013-07-01
2375,CNG,1261,2013-07-01
2376,Diesel,392442,2013-07-01
2377,Elektriciteit,1012,2013-07-01
2378,LPG,36960,2013-07-01
2379,Alcohol,2392,2013-08-01
2380,Benzine,3989844,2013-08-01
2381,CNG,1277,2013-08-01
2382,Diesel,397326,2013-08-01
2383,Elektriciteit,1080,2013-08-01
2384,LPG,36992,2013-08-01
2385,Alcohol,2395,2013-09-01
2386,Benzine,4015036,2013-09-01
2387,CNG,1313,2013-09-01
2388,Diesel,402645,2013-09-01
2389,Elektriciteit,1228,2013-09-01
2390,LPG,37081,2013-09-01
2391,Alcohol,2400,2013-10-01
2392,Benzine,4042343,2013-10-01
2393,CNG,1340,2013-10-01
2394,Diesel,409378,2013-10-01
2395,Elektriciteit,1342,2013-10-01
2396,LPG,37171,2013-10-01
2397,Alcohol,2403,2013-11-01
2398,Benzine,4072738,2013-11-01
2399,CNG,1372,2013-11-01
2400,Diesel,416220,2013-11-01
2401,Elektriciteit,1678,2013-11-01
2402,LPG,37364,2013-11-01
2403,Benzine,4097339,2013-12-01
2404,CNG,1394,2013-12-01
2405,Diesel,424147,2013-12-01
2406,Elektriciteit,2478,2013-12-01
2407,LPG,37460,2013-12-01
2408,Alcohol,2405,2014-01-01
2409,Benzine,4135718,2014-01-01
2410,CNG,1436,2014-01-01
2411,Diesel,430321,2014-01-01
2412,Elektriciteit,2499,2014-01-01
2413,LPG,37510,2014-01-01
2414,Alcohol,2408,2014-02-01
2415,Benzine,4166078,2014-02-01
2416,CNG,1479,2014-02-01
2417,Diesel,435091,2014-02-01
2418,Elektriciteit,2538,2014-02-01
2419,LPG,37574,2014-02-01
2420,Alcohol,2410,2014-03-01
2421,Benzine,4191127,2014-03-01
2422,CNG,1612,2014-03-01
2423,Diesel,440078,2014-03-01
2424,Elektriciteit,2797,2014-03-01
2425,LPG,37732,2014-03-01
2426,Alcohol,2414,2014-04-01
2427,Benzine,4215674,2014-04-01
2428,CNG,1803,2014-04-01
2429,Diesel,445078,2014-04-01
2430,Elektriciteit,2881,2014-04-01
2431,LPG,37864,2014-04-01
2432,Alcohol,2418,2014-05-01
2433,Benzine,4242269,2014-05-01
2434,CNG,2007,2014-05-01
2435,Diesel,450647,2014-05-01
2436,Elektriciteit,2993,2014-05-01
2437,LPG,37937,2014-05-01
2438,Alcohol,2421,2014-06-01
2439,Benzine,4269427,2014-06-01
2440,CNG,2192,2014-06-01
2441,Diesel,456332,2014-06-01
2442,Elektriciteit,3157,2014-06-01
2443,LPG,38071,2014-06-01
2444,Alcohol,2425,2014-07-01
2445,Benzine,4294024,2014-07-01
2446,CNG,2444,2014-07-01
2447,Diesel,462557,2014-07-01
2448,Elektriciteit,3234,2014-07-01
2449,LPG,38142,2014-07-01
2450,Alcohol,2428,2014-08-01
2451,Benzine,4315969,2014-08-01
2452,CNG,2591,2014-08-01
2453,Diesel,467643,2014-08-01
2454,Elektriciteit,3319,2014-08-01
2455,LPG,38190,2014-08-01
2456,Alcohol,2431,2014-09-01
2457,Benzine,4341662,2014-09-01
2458,CNG,2777,2014-09-01
2459,Diesel,473207,2014-09-01
2460,Elektriciteit,3504,2014-09-01
2461,LPG,38250,2014-09-01
2462,Waterstof,4,2014-09-01
2463,Alcohol,2433,2014-10-01
2464,Benzine,4370748,2014-10-01
2465,CNG,2992,2014-10-01
2466,Diesel,480112,2014-10-01
2467,Elektriciteit,3584,2014-10-01
2468,LPG,38306,2014-10-01
2469,Alcohol,2438,2014-11-01
2470,Benzine,4397398,2014-11-01
2471,CNG,3150,2014-11-01
2472,Diesel,486488,2014-11-01
2473,Elektriciteit,3698,2014-11-01
2474,LPG,38351,2014-11-01
2475,Alcohol,2443,2014-12-01
2476,Benzine,4421513,2014-12-01
2477,CNG,3778,2014-12-01
2478,Diesel,495063,2014-12-01
2479,Elektriciteit,4121,2014-12-01
2480,LPG,38372,2014-12-01
2481,Alcohol,2449,2015-01-01
2482,Benzine,4464356,2015-01-01
2483,CNG,3889,2015-01-01
2484,Diesel,501909,2015-01-01
2485,Elektriciteit,4351,2015-01-01
2486,LPG,38403,2015-01-01
2487,Waterstof,5,2015-01-01
2488,Alcohol,2455,2015-02-01
2489,Benzine,4496945,2015-02-01
2490,CNG,3919,2015-02-01
2491,Diesel,506297,2015-02-01
2492,Elektriciteit,4432,2015-02-01
2493,LPG,38435,2015-02-01
2494,Alcohol,2459,2015-03-01
2495,Benzine,4523640,2015-03-01
2496,CNG,3959,2015-03-01
2497,Diesel,511579,2015-03-01
2498,Elektriciteit,4659,2015-03-01
2499,LPG,38450,2015-03-01
2500,Waterstof,8,2015-03-01
2501,Alcohol,2462,2015-04-01
2502,Benzine,4549588,2015-04-01
2503,CNG,3995,2015-04-01
2504,Diesel,516796,2015-04-01
2505,Elektriciteit,4763,2015-04-01
2506,LPG,38471,2015-04-01
2507,Alcohol,2463,2015-05-01
2508,Benzine,4575681,2015-05-01
2509,CNG,4035,2015-05-01
2510,Diesel,522026,2015-05-01
2511,Elektriciteit,4883,2015-05-01
2512,LPG,38505,2015-05-01
2513,Alcohol,2472,2015-06-01
2514,Benzine,4608646,2015-06-01
2515,CNG,4095,2015-06-01
2516,Diesel,528770,2015-06-01
2517,Elektriciteit,5114,2015-06-01
2518,LPG,38532,2015-06-01
2519,Waterstof,9,2015-06-01
2520,Alcohol,2481,2015-07-01
2521,Benzine,4639237,2015-07-01
2522,CNG,4144,2015-07-01
2523,Diesel,535543,2015-07-01
2524,Elektriciteit,5255,2015-07-01
2525,LPG,38568,2015-07-01
2526,Alcohol,2486,2015-08-01
2527,Benzine,4665977,2015-08-01
2528,CNG,4192,2015-08-01
2529,Diesel,541915,2015-08-01
2530,Elektriciteit,5393,2015-08-01
2531,LPG,38601,2015-08-01
2532,Alcohol,2495,2015-09-01
2533,Benzine,4697248,2015-09-01
2534,CNG,4241,2015-09-01
2535,Diesel,547974,2015-09-01
2536,Elektriciteit,6179,2015-09-01
2537,LNG,2,2015-09-01
2538,LPG,38628,2015-09-01
2539,Waterstof,10,2015-09-01
2540,Alcohol,2501,2015-10-01
2541,Benzine,4728193,2015-10-01
2542,CNG,4309,2015-10-01
2543,Diesel,555077,2015-10-01
2544,Elektriciteit,8851,2015-10-01
2545,LPG,38661,2015-10-01
2546,Alcohol,2503,2015-11-01
2547,Benzine,4756322,2015-11-01
2548,CNG,4332,2015-11-01
2549,Diesel,562922,2015-11-01
2550,Elektriciteit,12620,2015-11-01
2551,LPG,38696,2015-11-01
2552,Waterstof,12,2015-11-01
2553,Alcohol,2511,2015-12-01
2554,Benzine,4783081,2015-12-01
2555,CNG,4379,2015-12-01
2556,Diesel,577402,2015-12-01
2557,Elektriciteit,24743,2015-12-01
2558,LPG,38713,2015-12-01
2559,Waterstof,19,2015-12-01
2560,Alcohol,2515,2016-01-01
2561,Benzine,4824131,2016-01-01
2562,CNG,4404,2016-01-01
2563,Diesel,582286,2016-01-01
2564,Elektriciteit,25488,2016-01-01
2565,LPG,38716,2016-01-01
2566,Alcohol,2523,2016-02-01
2567,Benzine,4854487,2016-02-01
2568,CNG,4423,2016-02-01
2569,Diesel,586662,2016-02-01
2570,Elektriciteit,26188,2016-02-01
2571,LPG,38724,2016-02-01
2572,Alcohol,2526,2016-03-01
2573,Benzine,4885020,2016-03-01
2574,CNG,4438,2016-03-01
2575,Diesel,591756,2016-03-01
2576,Elektriciteit,27399,2016-03-01
2577,LPG,38729,2016-03-01
2578,Alcohol,2534,2016-04-01
2579,Benzine,4914311,2016-04-01
2580,CNG,4463,2016-04-01
2581,Diesel,596824,2016-04-01
2582,Elektriciteit,28373,2016-04-01
2583,LPG,38738,2016-04-01
2584,Alcohol,2540,2016-05-01
2585,Benzine,4944466,2016-05-01
2586,CNG,4470,2016-05-01
2587,Diesel,601616,2016-05-01
2588,Elektriciteit,29477,2016-05-01
2589,LPG,38746,2016-05-01
2590,Alcohol,2547,2016-06-01
2591,Benzine,4982885,2016-06-01
2592,CNG,4504,2016-06-01
2593,Diesel,607911,2016-06-01
2594,Elektriciteit,30797,2016-06-01
2595,LPG,38754,2016-06-01
2596,Alcohol,2551,2016-07-01
2597,Benzine,5015053,2016-07-01
2598,CNG,4522,2016-07-01
2599,Diesel,613713,2016-07-01
2600,Elektriciteit,32116,2016-07-01
2601,LPG,38758,2016-07-01
2602,Alcohol,2554,2016-08-01
2603,Benzine,5043264,2016-08-01
2604,CNG,4600,2016-08-01
2605,Diesel,618519,2016-08-01
2606,Elektriciteit,33638,2016-08-01
2607,LPG,38761,2016-08-01
2608,Alcohol,2563,2016-09-01
2609,Benzine,5076391,2016-09-01
2610,CNG,4651,2016-09-01
2611,Diesel,623987,2016-09-01
2612,Elektriciteit,35752,2016-09-01
2613,LPG,38769,2016-09-01
2614,Alcohol,2571,2016-10-01
2615,Benzine,5106627,2016-10-01
2616,CNG,4678,2016-10-01
2617,Diesel,629523,2016-10-01
2618,Elektriciteit,37616,2016-10-01
2619,LPG,38776,2016-10-01
2620,Alcohol,2574,2016-11-01
2621,Benzine,5137917,2016-11-01
2622,CNG,4752,2016-11-01
2623,Diesel,635246,2016-11-01
2624,Elektriciteit,40570,2016-11-01
2625,LPG,38787,2016-11-01
2626,Alcohol,2581,2016-12-01
2627,Benzine,5164206,2016-12-01
2628,CNG,4844,2016-12-01
2629,Diesel,641264,2016-12-01
2630,Elektriciteit,49541,2016-12-01
2631,LPG,38793,2016-12-01
2632,Alcohol,2588,2017-01-01
2633,Benzine,5213657,2017-01-01
2634,CNG,4906,2017-01-01
2635,Diesel,648900,2017-01-01
2636,Elektriciteit,52153,2017-01-01
2637,LPG,38797,2017-01-01
2638,Alcohol,2599,2017-02-01
2639,Benzine,5247916,2017-02-01
2640,CNG,4926,2017-02-01
2641,Diesel,654477,2017-02-01
2642,Elektriciteit,53747,2017-02-01
2643,LPG,38805,2017-02-01
2644,Alcohol,2604,2017-03-01
2645,Benzine,5286835,2017-03-01
2646,CNG,4969,2017-03-01
2647,Diesel,661211,2017-03-01
2648,Elektriciteit,55576,2017-03-01
2649,LPG,38810,2017-03-01
2650,Alcohol,2610,2017-04-01
2651,Benzine,5318673,2017-04-01
2652,CNG,5058,2017-04-01
2653,Diesel,667079,2017-04-01
2654,Elektriciteit,56933,2017-04-01
2655,LPG,38817,2017-04-01
2656,Alcohol,2624,2017-05-01
2657,Benzine,5355555,2017-05-01
2658,CNG,5119,2017-05-01
2659,Diesel,674081,2017-05-01
2660,Elektriciteit,59041,2017-05-01
2661,LPG,38823,2017-05-01
2662,Alcohol,2636,2017-06-01
2663,Benzine,5396361,2017-06-01
2664,CNG,5206,2017-06-01
2665,Diesel,681864,2017-06-01
2666,Elektriciteit,61498,2017-06-01
2667,LPG,38826,2017-06-01
2668,Alcohol,2649,2017-07-01
2669,Benzine,5430472,2017-07-01
2670,CNG,5262,2017-07-01
2671,Diesel,689030,2017-07-01
2672,Elektriciteit,63443,2017-07-01
2673,LPG,38829,2017-07-01
2674,Alcohol,2655,2017-08-01
2675,Benzine,5461707,2017-08-01
2676,CNG,5381,2017-08-01
2677,Diesel,695122,2017-08-01
2678,Elektriciteit,65484,2017-08-01
2679,LNG,3,2017-08-01
2680,LPG,38834,2017-08-01
2681,Alcohol,2664,2017-09-01
2682,Benzine,5498029,2017-09-01
2683,CNG,5438,2017-09-01
2684,Diesel,701833,2017-09-01
2685,Elektriciteit,68079,2017-09-01
2686,LNG,4,2017-09-01
2687,LPG,38839,2017-09-01
2688,Alcohol,2669,2017-10-01
2689,Benzine,5535121,2017-10-01
2690,CNG,5485,2017-10-01
2691,Diesel,709035,2017-10-01
2692,Elektriciteit,70461,2017-10-01
2693,LPG,38848,2017-10-01
2694,Alcohol,2673,2017-11-01
2695,Benzine,5574283,2017-11-01
2696,CNG,5565,2017-11-01
2697,Diesel,715797,2017-11-01
2698,Elektriciteit,73157,2017-11-01
2699,LPG,38856,2017-11-01
2700,Alcohol,2681,2017-12-01
2701,Benzine,5597140,2017-12-01
2702,CNG,5577,2017-12-01
2703,Diesel,720541,2017-12-01
2704,Elektriciteit,75307,2017-12-01
2705,LPG,38860,2017-12-01
2706,Waterstof,21,2017-12-01
2707,Alcohol,2697,2018-01-01
2708,Benzine,5652524,2018-01-01
2709,CNG,5637,2018-01-01
2710,Diesel,730478,2018-01-01
2711,Elektriciteit,78976,2018-01-01
2712,LNG,5,2018-01-01
2713,LPG,38865,2018-01-01
2714,Alcohol,2708,2018-02-01
2715,Benzine,5689653,2018-02-01
2716,CNG,5667,2018-02-01
2717,Diesel,737605,2018-02-01
2718,Elektriciteit,81570,2018-02-01
2719,LPG,38869,2018-02-01
2720,Alcohol,2723,2018-03-01
2721,Benzine,5733249,2018-03-01
2722,CNG,5724,2018-03-01
2723,Diesel,745522,2018-03-01
2724,Elektriciteit,85773,2018-03-01
2725,LPG,38875,2018-03-01
2726,Alcohol,2739,2018-04-01
2727,Benzine,5769805,2018-04-01
2728,CNG,5771,2018-04-01
2729,Diesel,752131,2018-04-01
2730,Elektriciteit,88585,2018-04-01
2731,LNG,6,2018-04-01
2732,LPG,38880,2018-04-01
2733,Alcohol,2749,2018-05-01
2734,Benzine,5809124,2018-05-01
2735,CNG,5903,2018-05-01
2736,Diesel,758774,2018-05-01
2737,Elektriciteit,92090,2018-05-01
2738,LPG,38891,2018-05-01
2739,Alcohol,2767,2018-06-01
2740,Benzine,5857684,2018-06-01
2741,CNG,5974,2018-06-01
2742,Diesel,765790,2018-06-01
2743,Elektriciteit,96827,2018-06-01
2744,LPG,38898,2018-06-01
2745,Alcohol,2783,2018-07-01
2746,Benzine,5897578,2018-07-01
2747,CNG,6057,2018-07-01
2748,Diesel,772664,2018-07-01
2749,Elektriciteit,99796,2018-07-01
2750,LPG,38907,2018-07-01
2751,Alcohol,2804,2018-08-01
2752,Benzine,5941100,2018-08-01
2753,CNG,6123,2018-08-01
2754,Diesel,778851,2018-08-01
2755,Elektriciteit,103410,2018-08-01
2756,LPG,38912,2018-08-01
2757,Alcohol,2821,2018-09-01
2758,Benzine,5973601,2018-09-01
2759,CNG,6131,2018-09-01
2760,Diesel,783659,2018-09-01
2761,Elektriciteit,107973,2018-09-01
2762,LPG,38918,2018-09-01
2763,Alcohol,2841,2018-10-01
2764,Benzine,6008290,2018-10-01
2765,CNG,6155,2018-10-01
2766,Diesel,789150,2018-10-01
2767,Elektriciteit,111428,2018-10-01
2768,LPG,38928,2018-10-01
2769,Alcohol,2859,2018-11-01
2770,Benzine,6046622,2018-11-01
2771,CNG,6168,2018-11-01
2772,Diesel,794624,2018-11-01
2773,Elektriciteit,116364,2018-11-01
2774,LPG,38937,2018-11-01
2775,Alcohol,2883,2018-12-01
2776,Benzine,6069820,2018-12-01
2777,CNG,6179,2018-12-01
2778,Diesel,798084,2018-12-01
2779,Elektriciteit,123405,2018-12-01
2780,LPG,38944,2018-12-01
2781,Alcohol,2898,2019-01-01
2782,Benzine,6119472,2019-01-01
2783,CNG,6201,2019-01-01
2784,Diesel,804466,2019-01-01
2785,Elektriciteit,128600,2019-01-01
2786,LPG,38955,2019-01-01
2787,Waterstof,22,2019-01-01
2788,Alcohol,2916,2019-02-01
2789,Benzine,6155646,2019-02-01
2790,CNG,6226,2019-02-01
2791,Diesel,809337,2019-02-01
2792,Elektriciteit,132530,2019-02-01
2793,LPG,38958,2019-02-01
2794,Alcohol,2938,2019-03-01
2795,Benzine,6197266,2019-03-01
2796,CNG,6254,2019-03-01
2797,Diesel,814619,2019-03-01
2798,Elektriciteit,139761,2019-03-01
2799,LPG,38961,2019-03-01
2800,Alcohol,2957,2019-04-01
2801,Benzine,6234867,2019-04-01
2802,CNG,6280,2019-04-01
2803,Diesel,819736,2019-04-01
2804,Elektriciteit,144460,2019-04-01
2805,LPG,38965,2019-04-01
2806,Alcohol,2978,2019-05-01
2807,Benzine,6276725,2019-05-01
2808,CNG,6298,2019-05-01
2809,Diesel,824952,2019-05-01
2810,Elektriciteit,149997,2019-05-01
2811,LPG,38976,2019-05-01
2812,Alcohol,2992,2019-06-01
2813,Benzine,6319788,2019-06-01
2814,CNG,6321,2019-06-01
2815,Diesel,830235,2019-06-01
2816,Elektriciteit,157368,2019-06-01
2817,LPG,38981,2019-06-01
2818,Waterstof,24,2019-06-01
2819,Alcohol,3021,2019-07-01
2820,Benzine,6359813,2019-07-01
2821,CNG,6358,2019-07-01
2822,Diesel,835778,2019-07-01
2823,Elektriciteit,162110,2019-07-01
2824,LPG,38989,2019-07-01
2825,Alcohol,3033,2019-08-01
2826,Benzine,6398889,2019-08-01
2827,CNG,6384,2019-08-01
2828,Diesel,840261,2019-08-01
2829,Elektriciteit,167726,2019-08-01
2830,LPG,38996,2019-08-01
2831,Alcohol,3050,2019-09-01
2832,Benzine,6436734,2019-09-01
2833,CNG,6413,2019-09-01
2834,Diesel,844105,2019-09-01
2835,Elektriciteit,178333,2019-09-01
2836,LPG,39004,2019-09-01
2837,Waterstof,25,2019-09-01
2838,Alcohol,3064,2019-10-01
2839,Benzine,6478110,2019-10-01
2840,CNG,6483,2019-10-01
2841,Diesel,848386,2019-10-01
2842,Elektriciteit,183810,2019-10-01
2843,LPG,39014,2019-10-01
2844,Waterstof,27,2019-10-01
2845,Alcohol,3084,2019-11-01
2846,Benzine,6520447,2019-11-01
2847,CNG,6517,2019-11-01
2848,Diesel,852836,2019-11-01
2849,Elektriciteit,193772,2019-11-01
2850,LPG,39019,2019-11-01
2851,Alcohol,3100,2019-12-01
2852,Benzine,6549005,2019-12-01
2853,CNG,6572,2019-12-01
2854,Diesel,857057,2019-12-01
2855,Elektriciteit,218525,2019-12-01
2856,LPG,39028,2019-12-01
2857,Alcohol,3115,2020-01-01
2858,Benzine,6599192,2020-01-01
2859,CNG,6587,2020-01-01
2860,Diesel,861594,2020-01-01
2861,Elektriciteit,225890,2020-01-01
2862,LPG,39044,2020-01-01
2863,Waterstof,34,2020-01-01
2864,Alcohol,3131,2020-02-01
2865,Benzine,6635713,2020-02-01
2866,CNG,6601,2020-02-01
2867,Diesel,865006,2020-02-01
2868,Elektriciteit,232754,2020-02-01
2869,LPG,39052,2020-02-01
2870,Waterstof,35,2020-02-01
2871,Alcohol,3147,2020-03-01
2872,Benzine,6668328,2020-03-01
2873,CNG,6617,2020-03-01
2874,Diesel,868332,2020-03-01
2875,Elektriciteit,241153,2020-03-01
2876,LPG,39063,2020-03-01
2877,Alcohol,3157,2020-04-01
2878,Benzine,6686578,2020-04-01
2879,CNG,6625,2020-04-01
2880,Diesel,869971,2020-04-01
2881,Elektriciteit,245228,2020-04-01
2882,LPG,39064,2020-04-01
2883,Alcohol,3174,2020-05-01
2884,Benzine,6709368,2020-05-01
2885,CNG,6629,2020-05-01
2886,Diesel,872179,2020-05-01
2887,Elektriciteit,249025,2020-05-01
2888,LPG,39069,2020-05-01
2889,Alcohol,3192,2020-06-01
2890,Benzine,6743433,2020-06-01
2891,CNG,6641,2020-06-01
2892,Diesel,875532,2020-06-01
2893,Elektriciteit,255178,2020-06-01
2894,LPG,39079,2020-06-01
2895,Waterstof,36,2020-06-01
2896,Alcohol,3213,2020-07-01
2897,Benzine,6786664,2020-07-01
2898,CNG,6657,2020-07-01
2899,Diesel,879481,2020-07-01
2900,Elektriciteit,264907,2020-07-01
2901,LPG,39087,2020-07-01
2902,Waterstof,41,2020-07-01
2903,Alcohol,3228,2020-08-01
2904,Benzine,6819754,2020-08-01
2905,CNG,6672,2020-08-01
2906,Diesel,882529,2020-08-01
2907,Elektriciteit,274380,2020-08-01
2908,LPG,39097,2020-08-01
2909,Waterstof,43,2020-08-01
2910,Alcohol,3245,2020-09-01
2911,Benzine,6854168,2020-09-01
2912,CNG,6689,2020-09-01
2913,Diesel,885513,2020-09-01
2914,Elektriciteit,287408,2020-09-01
2915,LPG,39108,2020-09-01
2916,Waterstof,48,2020-09-01
2917,Alcohol,3267,2020-10-01
2918,Benzine,6891670,2020-10-01
2919,CNG,6697,2020-10-01
2920,Diesel,888596,2020-10-01
2921,Elektriciteit,302425,2020-10-01
2922,LPG,39117,2020-10-01
2923,Waterstof,49,2020-10-01
2924,Alcohol,3285,2020-11-01
2925,Benzine,6926749,2020-11-01
2926,CNG,6710,2020-11-01
2927,Diesel,891255,2020-11-01
2928,Elektriciteit,318073,2020-11-01
2929,LPG,39130,2020-11-01
2930,Waterstof,50,2020-11-01
2931,Alcohol,3301,2020-12-01
2932,Benzine,6952571,2020-12-01
2933,CNG,6725,2020-12-01
2934,Diesel,893364,2020-12-01
2935,Elektriciteit,352293,2020-12-01
2936,LPG,39140,2020-12-01
2937,Waterstof,51,2020-12-01
2938,Alcohol,3310,2021-01-01
2939,Benzine,6990735,2021-01-01
2940,CNG,6743,2021-01-01
2941,Diesel,895960,2021-01-01
2942,Elektriciteit,365183,2021-01-01
2943,LPG,39151,2021-01-01
2944,Waterstof,55,2021-01-01
2945,Alcohol,3320,2021-02-01
2946,Benzine,7019955,2021-02-01
2947,CNG,6752,2021-02-01
2948,Diesel,898315,2021-02-01
2949,Elektriciteit,373644,2021-02-01
2950,LPG,39163,2021-02-01
2951,Waterstof,57,2021-02-01
2952,Alcohol,3335,2021-03-01
2953,Benzine,7053692,2021-03-01
2954,CNG,6762,2021-03-01
2955,Diesel,901464,2021-03-01
2956,Elektriciteit,384037,2021-03-01
2957,LPG,39182,2021-03-01
2958,Waterstof,72,2021-03-01
2959,Alcohol,3352,2021-04-01
2960,Benzine,7086270,2021-04-01
2961,CNG,6772,2021-04-01
2962,Diesel,904864,2021-04-01
2963,Elektriciteit,395018,2021-04-01
2964,LPG,39192,2021-04-01
2965,Waterstof,74,2021-04-01
2966,Alcohol,3368,2021-05-01
2967,Benzine,7119964,2021-05-01
2968,CNG,6785,2021-05-01
2969,Diesel,907983,2021-05-01
2970,Elektriciteit,407018,2021-05-01
2971,LPG,39203,2021-05-01
2972,Waterstof,75,2021-05-01
2973,Alcohol,3383,2021-06-01
2974,Benzine,7158972,2021-06-01
2975,CNG,6813,2021-06-01
2976,Diesel,911286,2021-06-01
2977,Elektriciteit,423477,2021-06-01
2978,LPG,39213,2021-06-01
2979,Alcohol,3396,2021-07-01
2980,Benzine,7196452,2021-07-01
2981,CNG,6826,2021-07-01
2982,Diesel,914593,2021-07-01
2983,Elektriciteit,436310,2021-07-01
2984,LPG,39228,2021-07-01
2985,Waterstof,76,2021-07-01
2986,Alcohol,3407,2021-08-01
2987,Benzine,7226647,2021-08-01
2988,CNG,6837,2021-08-01
2989,Diesel,917095,2021-08-01
2990,Elektriciteit,448364,2021-08-01
2991,LPG,39241,2021-08-01
2992,Waterstof,77,2021-08-01
2993,Alcohol,3418,2021-09-01
2994,Benzine,7257458,2021-09-01
2995,CNG,6849,2021-09-01
2996,Diesel,919532,2021-09-01
2997,Elektriciteit,462838,2021-09-01
2998,LPG,39250,2021-09-01
2999,Waterstof,78,2021-09-01
3000,Alcohol,3431,2021-10-01
3001,Benzine,7289707,2021-10-01
3002,CNG,6855,2021-10-01
3003,Diesel,922082,2021-10-01
3004,Elektriciteit,477217,2021-10-01
3005,LPG,39284,2021-10-01
3006,Waterstof,79,2021-10-01
3007,Alcohol,3444,2021-11-01
3008,Benzine,7319460,2021-11-01
3009,CNG,6858,2021-11-01
3010,Diesel,924477,2021-11-01
3011,Elektriciteit,494472,2021-11-01
3012,LPG,39308,2021-11-01
3013,Waterstof,80,2021-11-01
3014,Alcohol,3455,2021-12-01
3015,Benzine,7346618,2021-12-01
3016,CNG,6867,2021-12-01
3017,Diesel,926911,2021-12-01
3018,Elektriciteit,522380,2021-12-01
3019,LPG,39323,2021-12-01
